epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
2,2021-01-15,267,SP,Itirapina,3523602,city,541,2942.29619,0,12,0,0.0222,18387,False,True
2,2021-01-14,266,SP,Itirapina,3523602,city,541,2942.29619,0,12,0,0.0222,18387,False,True
2,2021-01-13,265,SP,Itirapina,3523602,city,541,2942.29619,0,12,0,0.0222,18387,False,True
2,2021-01-12,264,SP,Itirapina,3523602,city,541,2942.29619,7,12,0,0.0222,18387,True,False
2,2021-01-11,263,SP,Itirapina,3523602,city,534,2904.22581,0,12,0,0.0225,18387,False,False
2,2021-01-10,262,SP,Itirapina,3523602,city,534,2904.22581,4,12,0,0.0225,18387,False,False
1,2021-01-09,261,SP,Itirapina,3523602,city,530,2882.47131,0,12,0,0.0226,18387,False,True
1,2021-01-08,260,SP,Itirapina,3523602,city,530,2882.47131,9,12,1,0.0226,18387,False,False
1,2021-01-07,259,SP,Itirapina,3523602,city,521,2833.52369,12,11,0,0.0211,18387,False,False
1,2021-01-06,258,SP,Itirapina,3523602,city,509,2768.26018,0,11,0,0.0216,18387,False,True
1,2021-01-05,257,SP,Itirapina,3523602,city,509,2768.26018,9,11,0,0.0216,18387,False,False
1,2021-01-04,256,SP,Itirapina,3523602,city,500,2719.31256,0,11,1,0.022,18387,False,False
1,2021-01-03,255,SP,Itirapina,3523602,city,500,2719.31256,11,10,0,0.02,18387,False,False
53,2021-01-02,254,SP,Itirapina,3523602,city,489,2659.48768,0,10,0,0.0204,18387,False,True
53,2021-01-01,253,SP,Itirapina,3523602,city,489,2659.48768,0,10,0,0.0204,18387,False,True
53,2020-12-31,252,SP,Itirapina,3523602,city,489,2659.48768,27,10,1,0.0204,18387,False,False
53,2020-12-30,251,SP,Itirapina,3523602,city,462,2512.6448,0,9,0,0.0195,18387,False,True
53,2020-12-29,250,SP,Itirapina,3523602,city,462,2512.6448,18,9,1,0.0195,18387,False,False
53,2020-12-28,249,SP,Itirapina,3523602,city,444,2414.74955,0,8,0,0.018,18387,False,False
53,2020-12-27,248,SP,Itirapina,3523602,city,444,2414.74955,0,8,0,0.018,18387,False,False
52,2020-12-26,247,SP,Itirapina,3523602,city,444,2414.74955,0,8,0,0.018,18387,False,True
52,2020-12-25,246,SP,Itirapina,3523602,city,444,2414.74955,0,8,0,0.018,18387,False,True
52,2020-12-24,245,SP,Itirapina,3523602,city,444,2414.74955,1,8,0,0.018,18387,False,False
52,2020-12-23,244,SP,Itirapina,3523602,city,443,2409.31093,0,8,0,0.0181,18387,False,True
52,2020-12-22,243,SP,Itirapina,3523602,city,443,2409.31093,4,8,0,0.0181,18387,False,False
52,2020-12-21,242,SP,Itirapina,3523602,city,439,2387.55643,0,8,0,0.0182,18387,False,False
52,2020-12-20,241,SP,Itirapina,3523602,city,439,2387.55643,10,8,0,0.0182,18387,False,False
51,2020-12-19,240,SP,Itirapina,3523602,city,429,2333.17017,0,8,0,0.0186,18387,False,True
51,2020-12-18,239,SP,Itirapina,3523602,city,429,2333.17017,8,8,0,0.0186,18387,False,False
51,2020-12-17,238,SP,Itirapina,3523602,city,421,2289.66117,5,8,0,0.019,18387,False,False
51,2020-12-16,237,SP,Itirapina,3523602,city,416,2262.46805,0,8,0,0.0192,18387,False,True
51,2020-12-15,236,SP,Itirapina,3523602,city,416,2262.46805,3,8,0,0.0192,18387,False,False
51,2020-12-14,235,SP,Itirapina,3523602,city,413,2246.15217,0,8,0,0.0194,18387,False,False
51,2020-12-13,234,SP,Itirapina,3523602,city,413,2246.15217,0,8,0,0.0194,18387,False,False
50,2020-12-12,233,SP,Itirapina,3523602,city,413,2246.15217,6,8,0,0.0194,18387,False,False
50,2020-12-11,232,SP,Itirapina,3523602,city,407,2213.52042,4,8,0,0.0197,18387,False,False
50,2020-12-10,231,SP,Itirapina,3523602,city,403,2191.76592,1,8,0,0.0199,18387,False,False
50,2020-12-09,230,SP,Itirapina,3523602,city,402,2186.3273,0,8,0,0.0199,18387,False,False
50,2020-12-08,229,SP,Itirapina,3523602,city,402,2186.3273,0,8,0,0.0199,18387,False,False
50,2020-12-07,228,SP,Itirapina,3523602,city,402,2186.3273,0,8,0,0.0199,18387,False,False
50,2020-12-06,227,SP,Itirapina,3523602,city,402,2186.3273,0,8,0,0.0199,18387,False,False
49,2020-12-05,226,SP,Itirapina,3523602,city,402,2186.3273,2,8,0,0.0199,18387,False,False
49,2020-12-04,225,SP,Itirapina,3523602,city,400,2175.45005,1,8,1,0.02,18387,False,False
49,2020-12-03,224,SP,Itirapina,3523602,city,399,2170.01142,5,7,0,0.0175,18387,False,False
49,2020-12-02,223,SP,Itirapina,3523602,city,394,2142.8183,1,7,0,0.0178,18387,False,False
49,2020-12-01,222,SP,Itirapina,3523602,city,393,2137.37967,2,7,0,0.0178,18387,False,False
